District,Typhoid,Latitudes,Longitudes
Nairobi,0.0100989923668,-1.2920659,36.8219462
Kiambu,0.0143604050590,-1.1748105,36.8304102
Kirinyaga,0.0093398681570,-0.1467303,37.3077328
Muranga,0.0121578433614,-0.5406437,37.0400339
Nyandarua,0.0144583685411,-0.3012262,36.5229641
Nyeri,0.0090869969413,-0.416876,36.950981
Thika,0.0001000000000,-1.0387569,37.0833753
Maragua,0.0051620977282,-0.794421,37.13122
Kilifi,0.0263579639811,-3.6333333,39.85
Kwale,0.0115318284529,-4.1744444,39.4602778
Lamu,0.0141089257231,-2.2695575,40.9006408
Mombasa,0.0041553200225,-4.0434771,39.6682065
Taita Taveta,0.0161210941899,-3.3160687,38.4849923
Tana River,0.0045292652926,-1.2770957,39.2078876
Malindi,0.0001000000000,-3.2191864,40.1168906
Embu,0.0086618684811,-0.5388381,37.4596409
Isiolo,0.0123396529218,0.355636,37.5833061
Kitui,0.0001000000000,-1.3750813,37.9952144
Makueni,0.0121663931920,-2.1545005,37.7736693
Machakos,0.0039247739232,-1.5176837,37.2634146
Marsabit,0.0177488933841,2.3333333,37.9833333
Mbeere,0.0105097641568,-0.5796816,37.776574
Meru Central,0.0165133619145,0.1181133,37.8087693
Moyale,0.0211960679745,1.7549209,40.0306338
Mwingi,0.0001000000000,-0.937411,38.0605006
Nyambene,0.0182120244932,0.2327721,37.876739
Tharaka,0.0335552365189,-0.3,38.016667
Meru South,0.0001000000000,0.0514721,37.6456042
Garissa,0.0137974381918,-0.4532293,39.6460988
Mandera,0.0035806723275,3.9399745,41.8629366
Wajir,0.0116122910457,1.7488388,40.058633
Gucha,0.0285136533991,-0.7832568,34.7630307
Homa Bay,0.0141661995198,-0.6842024,34.4198243
Kisii,0.0012174581434,-0.8067026,34.7740793
Kisumu,0.0233953323366,-0.0917016,34.7679568
Kuria,0.0001000000000,-1.22079,34.5528387
Migori,0.0010272292656,-1.063724,34.477072
Nyamira,0.0060870279234,-0.6798299,34.9506625
Rachuonyo,0.0190372272762,-0.4275946,34.6889341
Siaya,0.0001000000000,-0.0617328,34.2421597
Suba,0.0012713271742,-1.1725353,34.4447798
Bondo,0.0009229790783,-0.09978,34.274444
Nyando,0.0005330474322,-0.3130256,34.9376714
Baringo,0.0060070688490,-0.326909,36.064764
Bomet,0.0122952312560,-0.7863346,35.3364623
Keiyo,0.0006362498826,1.2263867,36.2630846
Kajiado,0.0053690665180,-1.7833007,36.6957216
Kericho,0.0001000000000,-0.366062,35.281799
Koibatek,0.0142510218879,0.101248,36.0345769
Laikipia,0.0211795831229,0.3771387,36.7884431
Nandi,0.0089900406808,0.2029033,35.1068759
Narok,0.0068178714248,-1.1089868,35.7406882
Samburu,0.0175045858440,1.2154506,36.954107
Trans Mara,0.0651232419652,-0.6666667,35.5333333
Trans Nzoia,0.0204666710154,1.0566667,34.9506625
Turkana,0.0147652260555,3.0398871,35.6207049
Uasin Gishu,0.0001000000000,0.5527638,35.3027226
West Pokot,0.0023749437714,1.5924438,35.2853616
Buret,0.0071832645000,-0.582624,35.1901151
Bungoma,0.0031048925453,0.8084283,34.597132
Busia,0.0392913755763,0.4036225,34.1976882
Mt. Elgon,0.0118626159141,1.063462,34.4198243
Kakamega,0.0001000000000,0.307894,34.7740793
Lugari,0.0152069415548,0.6511579,34.8762111
Teso,0.0128642315343,0.6197525,34.3452623
Vihiga,0.0047968865690,0.06134,34.7740793
Butere/Mumias,0.0033816415231,0.2166667,34.5
