County,Latitudes,Longitudes,No of households with Cess Pool
Baringo,0.512912,35.952537,80
Bomet,-0.690131,35.278005,144
Bungoma,0.737046,34.672536,282
Busia,0.428414,34.210571,178
Elgeyo Marakwet,0.806011,35.564093,33
Embu,-0.5982,37.653906,469
Garissa,-0.564679,40.408457,150
Homa Bay,-0.640985,34.411083,111
Isiolo,0.949302,38.614718,17
Kajiado,-2.221971,36.980268,478
Kakamega,0.308499,34.654844,466
Kericho,-0.297842,35.319833,107
Kiambu,-1.060698,36.79929,1862
Kilifi,-3.279972,39.63501,930
Kirinyaga,-0.517766,37.302006,252
Kisii,-0.782524,34.766895,214
Kisumu,-0.167225,34.953647,294
Kitui,-1.519146,38.376101,217
Kwale ,-4.242667,39.174233,574
Laikipia,0.311627,36.814178,194
Lamu,-2.03752,40.688214,97
Machakos,-1.327138,37.352277,1175
Makueni,-2.211917,37.865047,249
Mandera,3.46712,40.704671,226
Marsabit,2.772167,37.76822,23
Meru,0.159398,37.750761,874
Migori,-1.008592,34.42681,125
Mombasa,-3.998813,39.632129,3698
Murang'a,-0.804314,37.035566,419
Nairobi,-1.296975,36.844534,10489
Nakuru,-0.385212,36.036261,3148
Nandi,0.143371,35.156125,146
Narok,-1.227452,35.686784,122
Nyamira,-0.644917,34.955612,50
Nyandarua,-0.374727,36.494076,110
Nyeri,-0.407168,36.965186,584
Samburu,1.183862,37.184377,30
Siaya,-0.0617328,34.2421597,199
Taita Taveta,-3.551502,38.376101,185
Tana River,-1.584971,39.536272,30
Tharaka Nithi,-0.227324,37.882411,9
Trans Nzoia,1.030597,34.949297,200
Turkana,3.318344,35.401457,133
Uasin Gishu,0.555288,35.306307,315
Vihiga,0.06134,34.7740793,78
Wajir,1.895541,40.07933,59
West Pokot,1.575837,35.316901,56
