county,latitude,longitude,typhoid
Baringo,0.512912,35.952537,0.006007069
Bomet,-0.690131,35.278005,0.012295231
Bungoma,0.737046,34.672536,0.003104893
Busia,0.428414,34.210571,0.039291376
Embu,-0.5982,37.653906,0.008661868
Garissa,-0.564679,40.408457,0.013797438
Homa Bay,-0.640985,34.411083,0.0141662
Isiolo,0.949302,38.614718,0.012339653
Kajiado,-2.221971,36.980268,0.005369067
Kakamega,0.308499,34.654844,0.0001
Kericho,-0.297842,35.319833,0.0001
Kiambu,-1.060698,36.79929,0.014360405
Kilifi,-3.279972,39.63501,0.026357964
Kirinyaga,-0.517766,37.302006,0.009339868
Kisii,-0.782524,34.766895,0.001217458
Kisumu,-0.167225,34.953647,0.023395332
Kitui,-1.519146,38.376101,0.0001
Kwale,-4.242667,39.174233,0.011531828
Laikipia,0.311627,36.814178,0.021179583
Lamu,-2.03752,40.688214,0.014108926
Machakos,-1.327138,37.352277,0.003924774
Makueni,-2.211917,37.865047,0.012166393
Mandera,3.46712,40.704671,0.003580672
Marsabit,2.772167,37.76822,0.017748893
Migori,-1.008592,34.42681,0.001027229
Mombasa,-3.998813,39.632129,0.00415532
Muranga,-0.804314,37.035566,0.012157843
Nairobi,-1.296975,36.844534,0.010098992
Nandi,0.143371,35.156125,0.008990041
Narok,-1.227452,35.686784,0.006817871
Nyambene,-0.644917,34.955612,0.018212024
Nyamira,-0.644917,34.955612,0.006087028
Nyandarua,-0.374727,36.494076,0.014458369
Nyeri,-0.407168,36.965186,0.009086997
Samburu,1.183862,37.184377,0.017504586
Siaya,-0.0617328,34.2421597,0.0001
Taita Taveta,-3.551502,38.376101,0.016121094
Tana River,-1.584971,39.536272,0.004529265
Tharaka,-0.227324,37.882411,0.033555237
Trans Nzoia,1.030597,34.949297,0.020466671
Turkana,3.318344,35.401457,0.014765226
Uasin Gishu,0.555288,35.306307,0.0001
Vihiga,0.06134,34.7740793,0.004796887
Wajir,1.895541,40.07933,0.011612291
West Pokot,1.575837,35.316901,0.002374944
